.гес	sg,nom,comp
.гем	sg,nom,comp
.	sg,nom
.эз|гес	sg,acc,comp
.эз|гем	sg,acc,comp
.эз	sg,acc
.ыз|гес	sg,acc,comp
.ыз|гем	sg,acc,comp
.ыз	sg,acc
.лэн|гес	sg,gen,comp
.лэн|гем	sg,gen,comp
.лэн	sg,gen
.лэсь|гес	sg,abl,comp
.лэсь|гем	sg,abl,comp
.лэсь	sg,abl
.лы|гес	sg,dat,comp
.лы|гем	sg,dat,comp
.лы	sg,dat
.эн|гес	sg,ins,comp
.эн|гем	sg,ins,comp
.эн	sg,ins
.ын|гес	sg,ins,comp
.ын|гем	sg,ins,comp
.ын	sg,ins
.тэк|гес	sg,car,comp
.тэк|гем	sg,car,comp
.тэк	sg,car
.я|гес	sg,adv,comp
.я|гем	sg,adv,comp
.я	sg,adv
.ъя|гес	sg,adv,comp
.ъя|гем	sg,adv,comp
.ъя	sg,adv
.ан|гес	sg,loc,comp
.ан|гем	sg,loc,comp
.ан	sg,loc
.а|гес	sg,ill,comp
.а|гем	sg,ill,comp
.а	sg,ill
.ась|гес	sg,el,comp
.ась|гем	sg,el,comp
.ась	sg,el
.асен|гес	sg,egr,comp
.асен|гем	sg,egr,comp
.асен	sg,egr
.озь|гес	sg,term,comp
.озь|гем	sg,term,comp
.озь	sg,term
.этӥ|гес	sg,prol,comp
.этӥ|гем	sg,prol,comp
.этӥ	sg,prol
.ытӥ|гес	sg,prol,comp
.ытӥ|гем	sg,prol,comp
.ытӥ	sg,prol
.тӥ|гес	sg,prol,comp
.тӥ|гем	sg,prol,comp
.тӥ	sg,prol
.лань|гес	sg,app,comp
.лань|гем	sg,app,comp
.лань	sg,app
.э|гес	sg,nom,1sg,comp
.э|гем	sg,nom,1sg,comp
.э	sg,nom,1sg
.ы|гес	sg,nom,1sg,comp
.ы|гем	sg,nom,1sg,comp
.ы	sg,nom,1sg
.ме|гес	sg,acc,1sg,comp
.ме|гем	sg,acc,1sg,comp
.ме	sg,acc,1sg
.элэн|гес	sg,gen,1sg,comp
.элэн|гем	sg,gen,1sg,comp
.элэн	sg,gen,1sg
