.й	sg,nom
.ез	sg,acc
.йез	sg,acc
.йыз	sg,acc
.йлэн	sg,gen
.йлэсь	sg,abl
.йлы	sg,dat
.ен	sg,ins
.йен	sg,ins
.йтэк	sg,car
.я	sg,adv
.йя	sg,adv
.йын	sg,loc
.е	sg,ill
.йе	sg,ill
.йы	sg,ill
.йысь	sg,el
.йысен	sg,egr
.ёзь	sg,term
.йёзь	sg,term
.етӥ	sg,prol
.йетӥ	sg,prol
.йытӥ	sg,prol
.йтӥ	sg,prol
.йлань	sg,app
.е|гес	sg,nom,1sg,comp
.е|гем	sg,nom,1sg,comp
.е	sg,nom,1sg
.йы|гес	sg,nom,1sg,comp
.йы|гем	sg,nom,1sg,comp
.йы	sg,nom,1sg
.йме|гес	sg,acc,1sg,comp
.йме|гем	sg,acc,1sg,comp
.йме	sg,acc,1sg
.елэн|гес	sg,gen,1sg,comp
.елэн|гем	sg,gen,1sg,comp
.елэн	sg,gen,1sg
.йылэн|гес	sg,gen,1sg,comp
.йылэн|гем	sg,gen,1sg,comp
.йылэн	sg,gen,1sg
.елэсь|гес	sg,abl,1sg,comp
.елэсь|гем	sg,abl,1sg,comp
.елэсь	sg,abl,1sg
.йылэсь|гес	sg,abl,1sg,comp
.йылэсь|гем	sg,abl,1sg,comp
.йылэсь	sg,abl,1sg
.елы|гес	sg,dat,1sg,comp
.елы|гем	sg,dat,1sg,comp
.елы	sg,dat,1sg
.йылы|гес	sg,dat,1sg,comp
.йылы|гем	sg,dat,1sg,comp
.йылы	sg,dat,1sg
.етэк|гес	sg,car,1sg,comp
.етэк|гем	sg,car,1sg,comp
.етэк	sg,car,1sg
.йытэк|гес	sg,car,1sg,comp
.йытэк|гем	sg,car,1sg,comp
.йытэк	sg,car,1sg
.ея|гес	sg,adv,1sg,comp
.ея|гем	sg,adv,1sg,comp
.ея	sg,adv,1sg
.йыя|гес	sg,adv,1sg,comp
.йыя|гем	sg,adv,1sg,comp
.йыя	sg,adv,1sg
.елань|гес	sg,app,1sg,comp
.елань|гем	sg,app,1sg,comp
.елань	sg,app,1sg
.йылэнь|гес	sg,app,1sg,comp
.йылэнь|гем	sg,app,1sg,comp
.йылэнь	sg,app,1sg
.еным|гес	sg,ins,1sg,comp
.еным|гем	sg,ins,1sg,comp
.еным	sg,ins,1sg
.йыным|гес	sg,ins,1sg,comp
.йыным|гем	sg,ins,1sg,comp
.йыным	sg,ins,1sg
.ям|гес	sg,loc,1sg,comp
.ям|гем	sg,loc,1sg,comp
.ям	sg,loc,1sg
.ям|гес	sg,ill,1sg,comp
.ям|гем	sg,ill,1sg,comp
.ям	sg,ill,1sg
.йысьтым|гес	sg,el,1sg,comp
.йысьтым|гем	sg,el,1sg,comp
.йысьтым	sg,el,1sg
